instrument1,instrument2,period,frequency,entry_id
CPLE6,CMIN3,1D,1H,2
CMIN3,RECV3,1D,1S,2
EGIE3,KLBN11,1D,1T,2
KLBN11,MBRF3,1D,1H,1
PCAR3,RDOR3,1D,1S,2
EQTL3,HYPE3,1D,1T,1
ALOS3,RAIL3,1D,1T,3
BBDC3,PETR3,1D,1H,3
CMIN3,SBSP3,1D,1S,1
CYRE3,ELET6,1D,1S,2
PETR3,RECV3,1D,1S,1
BBDC3,BEEF3,1D,1H,2
CEAB3,YDUQ3,1D,1H,1
ASAI3,MOTV3,1D,1S,2
CPFE3,PETR3,1D,1S,2
LREN3,WEGE3,1D,1H,2
CEAB3,CMIN3,1D,1T,1
MOTV3,TAEE11,1D,1H,2
CEAB3,VAMO3,1D,1T,2
CVCB3,MOTV3,1D,1T,3
BRAV3,RAIL3,1D,1H,1
BBDC4,TAEE11,1D,1T,2
KLBN11,RECV3,1D,1H,1
CMIN3,ITUB4,1D,1T,3
GGBR4,MULT3,1D,1S,3
COGN3,MOTV3,1D,1T,3
BPAC11,ITUB4,1D,1S,1
MBRF3,SLCE3,1D,1S,3
HAPV3,ITUB4,1D,1S,3
ALOS3,IRBR3,1D,1H,2
ASAI3,ENGI11,1D,1T,2
ABEV3,VIVT3,1D,1T,3
GOAU4,CSNA3,1D,1H,2
GGBR4,VIVT3,1D,1H,1
PCAR3,VAMO3,1D,1H,3
ABEV3,BBDC4,1D,1H,1
ALOS3,VAMO3,1D,1T,2
RENT3,BEEF3,1D,1T,2
CXSE3,MBRF3,1D,1T,2
ENEV3,TAEE11,1D,1S,1
AZZA3,VIVA3,1D,1S,2
CVCB3,RAIL3,1D,1T,1
VAMO3,VIVA3,1D,1S,2
BBDC4,CPFE3,1D,1T,2
CVCB3,SBSP3,1D,1H,1
PCAR3,RAIL3,1D,1H,2
EQTL3,UGPA3,1D,1H,2
CPFE3,KLBN11,1D,1S,2
EQTL3,HYPE3,1D,1H,2
IRBR3,SANB11,1D,1H,1
DIRR3,PETR4,1D,1T,3
MBRF3,PCAR3,1D,1T,1
AURE3,VIVT3,1D,1T,1
BEEF3,TOTS3,1D,1H,3
ASAI3,SLCE3,1D,1S,2
ELET3,VAMO3,1D,1H,2
ASAI3,BRKM5,1D,1H,1
MBRF3,VIVT3,1D,1T,3
ELET3,PETR3,1D,1T,3
PSSA3,VAMO3,1D,1H,2
AURE3,SBSP3,1D,1T,1
BBDC3,IGTI11,1D,1T,1
KLBN11,RAIL3,1D,1T,2
PETR3,VALE3,1D,1H,3
GOAU4,SANB11,1D,1H,2
CURY3,VIVT3,1D,1T,2
CPFE3,RECV3,1D,1S,2
PETR3,RDOR3,1D,1H,2
SMFT3,VAMO3,1D,1T,1
BRKM5,SMFT3,1D,1S,1
CEAB3,CURY3,1D,1S,2
CSAN3,ELET3,1D,1S,3
BRKM5,ISAE4,1D,1T,2
VAMO3,VBBR3,1D,1T,3
LREN3,SBSP3,1D,1H,3
IGTI11,SBSP3,1D,1S,2
SMFT3,TIMS3,1D,1T,2
BBDC4,LREN3,1D,1H,1
ITSA4,PRIO3,1D,1S,2
MULT3,SBSP3,1D,1T,3
MGLU3,TIMS3,1D,1T,3
BBSE3,ELET6,1D,1T,3
CURY3,DIRR3,1D,1S,1
HAPV3,VIVT3,1D,1S,2
MBRF3,CSNA3,1D,1T,2
COGN3,MGLU3,1D,1H,2
ELET6,MBRF3,1D,1T,1
BBDC4,USIM5,1D,1T,3
ELET6,MRVE3,1D,1H,1
HYPE3,PETR3,1D,1T,3
CXSE3,VALE3,1D,1T,1
CVCB3,ISAE4,1D,1S,3
BBDC3,VIVA3,1D,1S,2
B3SA3,VALE3,1D,1T,2
KLBN11,NATU3,1D,1T,1
CYRE3,PRIO3,1D,1S,3
BPAC11,WEGE3,1D,1T,2
B3SA3,ELET3,1D,1T,2
MULT3,VALE3,1D,1S,1
CMIN3,ELET6,1D,1S,3
CXSE3,CMIN3,1D,1S,3
LREN3,VIVT3,1D,1H,2
ELET3,PETR4,1D,1S,1
BRAV3,ITSA4,1D,1S,2
HAPV3,NATU3,1D,1S,3
CPLE6,NATU3,1D,1T,1
HYPE3,IRBR3,1D,1S,1
BRAP4,WEGE3,1D,1S,2
BRAP4,RENT3,1D,1H,2
BBDC4,USIM5,1D,1T,2
CMIG4,WEGE3,1D,1S,3
EQTL3,MGLU3,1D,1T,2
CSAN3,MOTV3,1D,1T,2
AURE3,SANB11,1D,1S,2
MRVE3,SMFT3,1D,1H,3
CURY3,VBBR3,1D,1S,1
AURE3,RDOR3,1D,1S,3
ABEV3,USIM5,1D,1H,2
GOAU4,PCAR3,1D,1H,1
AURE3,BRKM5,1D,1T,1
AURE3,LREN3,1D,1T,3
CPFE3,PETR4,1D,1H,1
AZZA3,RECV3,1D,1H,1
EQTL3,POMO4,1D,1H,3
CVCB3,PETR3,1D,1H,3
MBRF3,VAMO3,1D,1H,2
COGN3,SUZB3,1D,1S,1
CSAN3,TIMS3,1D,1T,2
KLBN11,SMFT3,1D,1H,1
FLRY3,ITUB4,1D,1S,3
BBDC4,CPLE6,1D,1S,3
BPAC11,EGIE3,1D,1T,2
ABEV3,CMIN3,1D,1H,2
B3SA3,RENT3,1D,1S,3
ENEV3,FLRY3,1D,1H,1
GOAU4,SLCE3,1D,1T,3
MULT3,RAIZ4,1D,1H,1
B3SA3,BRAV3,1D,1H,3
CURY3,POMO4,1D,1S,3
CXSE3,GGBR4,1D,1H,2
ENGI11,MULT3,1D,1T,2
CURY3,MGLU3,1D,1T,3
HYPE3,IRBR3,1D,1S,2
ELET6,ENGI11,1D,1H,3
ELET3,HAPV3,1D,1S,2
CYRE3,YDUQ3,1D,1S,3
CSNA3,USIM5,1D,1H,2
AURE3,SLCE3,1D,1S,1
CEAB3,VALE3,1D,1T,1
ASAI3,CPFE3,1D,1S,3
GOAU4,ISAE4,1D,1S,2
BBSE3,KLBN11,1D,1S,2
ENEV3,VIVA3,1D,1H,1
BRKM5,ELET3,1D,1T,1
MRVE3,NATU3,1D,1T,2
AURE3,EQTL3,1D,1S,1
MBRF3,UGPA3,1D,1H,3
POMO4,CSNA3,1D,1T,3
BEEF3,TAEE11,1D,1S,3
AZZA3,MOTV3,1D,1H,2
BBDC4,RECV3,1D,1H,3
BPAC11,VALE3,1D,1S,2
AURE3,FLRY3,1D,1T,2
FLRY3,IGTI11,1D,1S,3
RECV3,SMFT3,1D,1T,1
IRBR3,USIM5,1D,1T,2
BRAV3,BPAC11,1D,1H,2
RAIL3,SUZB3,1D,1T,3
DIRR3,ITSA4,1D,1S,3
LREN3,RECV3,1D,1T,1
BPAC11,CMIN3,1D,1H,3
SUZB3,VAMO3,1D,1T,3
ELET6,MBRF3,1D,1H,2
CPLE6,IRBR3,1D,1S,1
CVCB3,VIVT3,1D,1H,3
EGIE3,RAIZ4,1D,1T,2
CPLE6,IGTI11,1D,1H,2
POMO4,MBRF3,1D,1H,2
IGTI11,MGLU3,1D,1H,1
AZZA3,BBSE3,1D,1S,3
CVCB3,CYRE3,1D,1T,2
DIRR3,USIM5,1D,1H,3
CPFE3,UGPA3,1D,1H,3
ELET6,MGLU3,1D,1H,3
AZZA3,PETR3,1D,1T,1
SBSP3,TIMS3,1D,1T,2
ALOS3,SMFT3,1D,1T,1
CPLE6,EQTL3,1D,1S,2
BRKM5,LREN3,1D,1S,1
EQTL3,SLCE3,1D,1H,3
PETR4,RADL3,1D,1H,1
CVCB3,RAIL3,1D,1T,2
FLRY3,PSSA3,1D,1T,1
BRKM5,ELET6,1D,1H,3
ABEV3,CMIG4,1D,1S,2
ASAI3,PETR4,1D,1S,1
CMIN3,CSNA3,1D,1T,2
CYRE3,TAEE11,1D,1T,1
PETR3,CSNA3,1D,1S,2
MULT3,VAMO3,1D,1T,3
GGBR4,BEEF3,1D,1T,3
NATU3,VIVT3,1D,1T,2
BBAS3,EMBR3,1D,1T,2
HYPE3,LREN3,1D,1H,3
ISAE4,NATU3,1D,1H,3
BPAC11,RECV3,1D,1H,2
ALOS3,B3SA3,1D,1H,3
AURE3,VALE3,1D,1T,2
MRVE3,TOTS3,1D,1S,3
IRBR3,SUZB3,1D,1T,1
CYRE3,PSSA3,1D,1S,1
MRVE3,RAIZ4,1D,1T,3
GGBR4,HAPV3,1D,1T,1
ALOS3,ISAE4,1D,1H,3
POMO4,PETR3,1D,1H,3
CYRE3,MOTV3,1D,1H,2
EGIE3,HAPV3,1D,1S,2
MGLU3,NATU3,1D,1H,3
BPAC11,CSNA3,1D,1H,3
RDOR3,VIVT3,1D,1T,1
CSAN3,PCAR3,1D,1S,3
ALOS3,CSNA3,1D,1S,1
BBDC3,CEAB3,1D,1S,2
BRKM5,RAIZ4,1D,1T,2
BRAP4,EQTL3,1D,1S,1
PCAR3,PETR3,1D,1S,3
FLRY3,RADL3,1D,1T,3
ISAE4,WEGE3,1D,1H,2
CXSE3,RAIL3,1D,1H,2
CVCB3,PRIO3,1D,1H,2
ALOS3,CVCB3,1D,1S,3
HAPV3,RDOR3,1D,1T,2
BBSE3,KLBN11,1D,1S,1
CPLE6,UGPA3,1D,1T,2
ISAE4,PCAR3,1D,1S,3
CXSE3,EGIE3,1D,1S,2
ASAI3,SUZB3,1D,1H,3
BRAP4,CMIG4,1D,1S,3
CEAB3,ISAE4,1D,1T,2
EQTL3,HAPV3,1D,1H,3
ISAE4,USIM5,1D,1H,2
CPFE3,PCAR3,1D,1T,3
BRAV3,TIMS3,1D,1H,2
BBSE3,TIMS3,1D,1S,2
AZZA3,VIVA3,1D,1T,3
BBAS3,TOTS3,1D,1S,3
RENT3,SBSP3,1D,1T,3
AURE3,CEAB3,1D,1T,3
ABEV3,RECV3,1D,1H,3
EMBR3,HYPE3,1D,1H,2
FLRY3,SANB11,1D,1T,2
BPAC11,VBBR3,1D,1T,2
PETR4,SLCE3,1D,1S,2
ENGI11,POMO4,1D,1H,2
B3SA3,POMO4,1D,1S,3
AURE3,LREN3,1D,1H,2
BBDC4,BBAS3,1D,1H,3
EGIE3,POMO4,1D,1T,1
DIRR3,RENT3,1D,1H,1
CMIN3,VAMO3,1D,1S,1
RENT3,RAIL3,1D,1T,3
ITUB4,MRVE3,1D,1T,3
ENGI11,USIM5,1D,1S,3
BRAP4,KLBN11,1D,1S,2
ISAE4,MULT3,1D,1H,1
IGTI11,LREN3,1D,1T,3
CEAB3,GOAU4,1D,1H,2
BRKM5,KLBN11,1D,1H,1
MGLU3,TOTS3,1D,1T,1
ISAE4,RADL3,1D,1S,2
COGN3,WEGE3,1D,1T,3
B3SA3,RAIL3,1D,1T,2
DIRR3,WEGE3,1D,1T,2
BBAS3,BPAC11,1D,1S,2
BRKM5,HYPE3,1D,1H,3
RADL3,VIVT3,1D,1T,1
ABEV3,IRBR3,1D,1T,1
BRAV3,COGN3,1D,1H,1
AURE3,YDUQ3,1D,1S,3
ENEV3,PETR3,1D,1H,3
CMIG4,ENGI11,1D,1T,3
ALOS3,ITUB4,1D,1H,2
MBRF3,RAIZ4,1D,1H,1
KLBN11,SMFT3,1D,1H,3
EGIE3,SLCE3,1D,1H,1
RECV3,CSNA3,1D,1S,1
ABEV3,BPAC11,1D,1T,3
ITSA4,RAIZ4,1D,1T,2
RENT3,PCAR3,1D,1H,1
ENEV3,PCAR3,1D,1S,1
BBDC3,CVCB3,1D,1S,2
CURY3,USIM5,1D,1S,2
BBAS3,GGBR4,1D,1S,1
GOAU4,MGLU3,1D,1T,3
CMIN3,MULT3,1D,1H,1
CSAN3,ELET6,1D,1S,1
COGN3,CYRE3,1D,1S,2
MULT3,PSSA3,1D,1H,1
AZZA3,EMBR3,1D,1T,2
BRAP4,CXSE3,1D,1S,3
AURE3,RENT3,1D,1H,2
BPAC11,DIRR3,1D,1H,1
BBDC3,BRAV3,1D,1T,2
RECV3,YDUQ3,1D,1H,1
HAPV3,TIMS3,1D,1S,1
BRAP4,RAIZ4,1D,1S,3
VALE3,VBBR3,1D,1H,3
CSAN3,MGLU3,1D,1T,2
BBDC3,COGN3,1D,1H,1
CURY3,HYPE3,1D,1H,2
CURY3,DIRR3,1D,1T,2
BBSE3,RADL3,1D,1H,3
EMBR3,SBSP3,1D,1T,1
MULT3,RADL3,1D,1H,3
EGIE3,PETR3,1D,1H,3
CMIN3,ENEV3,1D,1H,1
ALOS3,BBDC4,1D,1H,1
NATU3,TOTS3,1D,1T,3
ASAI3,GOAU4,1D,1S,3
MGLU3,VALE3,1D,1S,3
KLBN11,RAIZ4,1D,1H,3
BPAC11,CPLE6,1D,1T,2
CVCB3,VIVA3,1D,1H,1
CMIG4,PETR4,1D,1S,1
CURY3,CVCB3,1D,1H,3
EMBR3,MRVE3,1D,1T,1
ELET3,BEEF3,1D,1T,2
ALOS3,ELET3,1D,1S,3
CPFE3,PRIO3,1D,1T,3
COGN3,FLRY3,1D,1H,2
CVCB3,PCAR3,1D,1S,3
CPLE6,MGLU3,1D,1S,1
ASAI3,BEEF3,1D,1S,2
CEAB3,VIVT3,1D,1H,3
COGN3,UGPA3,1D,1S,2
AZZA3,SMFT3,1D,1S,1
RECV3,SMFT3,1D,1T,2
BBDC3,IGTI11,1D,1H,2
DIRR3,MULT3,1D,1S,2
ASAI3,KLBN11,1D,1T,1
COGN3,KLBN11,1D,1H,1
ALOS3,KLBN11,1D,1T,3
LREN3,VIVT3,1D,1S,1
ABEV3,ASAI3,1D,1S,1
ALOS3,GOAU4,1D,1H,2
CVCB3,RECV3,1D,1S,3
PRIO3,TIMS3,1D,1H,3
CEAB3,EMBR3,1D,1S,2
AURE3,VBBR3,1D,1S,1
CVCB3,RDOR3,1D,1T,1
IRBR3,PETR4,1D,1H,2
BBDC4,CSAN3,1D,1T,1
BBDC3,MGLU3,1D,1H,1
AZZA3,ELET3,1D,1H,3
RAIL3,UGPA3,1D,1T,3
PCAR3,PSSA3,1D,1T,2
BRAP4,RDOR3,1D,1H,1
RADL3,RAIL3,1D,1H,1
CSAN3,MBRF3,1D,1S,2
B3SA3,RADL3,1D,1T,1
EQTL3,MOTV3,1D,1T,1
CMIG4,MBRF3,1D,1H,2
DIRR3,MGLU3,1D,1T,2
B3SA3,PCAR3,1D,1H,2
CVCB3,RECV3,1D,1H,3
MOTV3,UGPA3,1D,1H,3
CMIN3,HYPE3,1D,1T,1
POMO4,VIVA3,1D,1S,2
EMBR3,RECV3,1D,1H,2
ELET3,GGBR4,1D,1S,1
AZZA3,BBDC4,1D,1H,3
MGLU3,VIVA3,1D,1T,1
HYPE3,ITUB4,1D,1H,3
PCAR3,RAIL3,1D,1S,1
ALOS3,YDUQ3,1D,1T,3
BBSE3,BEEF3,1D,1S,2
BBDC3,RDOR3,1D,1H,2
UGPA3,VAMO3,1D,1H,2
BBAS3,CXSE3,1D,1H,3
BPAC11,RDOR3,1D,1T,3
ISAE4,PETR4,1D,1T,3
FLRY3,MULT3,1D,1S,1
BBAS3,BEEF3,1D,1S,2
BBSE3,ENEV3,1D,1S,2
HYPE3,ITSA4,1D,1H,2
DIRR3,PSSA3,1D,1H,1
BRKM5,GOAU4,1D,1S,1
BBDC4,HAPV3,1D,1T,1
CXSE3,POMO4,1D,1H,2
CXSE3,RAIZ4,1D,1T,2
ALOS3,SUZB3,1D,1H,3
ITSA4,RAIL3,1D,1T,3
ITUB4,CSNA3,1D,1S,2
COGN3,CSNA3,1D,1T,1
ELET6,LREN3,1D,1H,1
POMO4,SUZB3,1D,1H,2
IRBR3,RDOR3,1D,1S,2
EQTL3,PETR3,1D,1H,3
BBDC4,PRIO3,1D,1T,2
BBDC3,SBSP3,1D,1S,1
BRAP4,IGTI11,1D,1T,3
CPFE3,ENEV3,1D,1S,3
ASAI3,RAIZ4,1D,1H,1
POMO4,VBBR3,1D,1H,2
COGN3,KLBN11,1D,1T,3
DIRR3,PSSA3,1D,1H,2
PETR4,RECV3,1D,1H,3
FLRY3,SMFT3,1D,1T,2
BRKM5,EMBR3,1D,1T,1
CSNA3,VIVT3,1D,1S,3
SBSP3,VALE3,1D,1T,2
NATU3,RAIZ4,1D,1T,2
CPFE3,HYPE3,1D,1H,2
CPLE6,ITUB4,1D,1H,1
ENEV3,YDUQ3,1D,1T,2
ENGI11,PSSA3,1D,1H,1
SLCE3,VAMO3,1D,1S,2
TAEE11,VIVA3,1D,1S,1
BPAC11,CXSE3,1D,1T,2
AURE3,VALE3,1D,1H,2
ELET6,GOAU4,1D,1T,2
HYPE3,UGPA3,1D,1T,1
AURE3,TOTS3,1D,1S,2
CVCB3,EQTL3,1D,1S,2
DIRR3,NATU3,1D,1T,1
ITSA4,VALE3,1D,1S,3
BBDC3,VALE3,1D,1S,3
AURE3,KLBN11,1D,1S,2
SANB11,SMFT3,1D,1T,3
CSAN3,VBBR3,1D,1T,1
FLRY3,BEEF3,1D,1S,2
ENEV3,LREN3,1D,1S,2
BBAS3,MBRF3,1D,1T,3
CSNA3,VAMO3,1D,1T,3
ELET3,SBSP3,1D,1T,2
RENT3,SMFT3,1D,1H,3
GGBR4,BEEF3,1D,1S,2
MBRF3,SLCE3,1D,1H,2
ALOS3,BBDC3,1D,1S,1
ENEV3,GOAU4,1D,1S,1
RAIL3,CSNA3,1D,1H,2
ITSA4,SANB11,1D,1S,3
AZZA3,VIVT3,1D,1H,2
BRAP4,RDOR3,1D,1S,2
CVCB3,UGPA3,1D,1T,1
CXSE3,HAPV3,1D,1T,1
AURE3,WEGE3,1D,1T,1
BBDC3,VIVT3,1D,1T,2
MULT3,RDOR3,1D,1S,1
ENEV3,UGPA3,1D,1T,3
CEAB3,IRBR3,1D,1S,2
B3SA3,PSSA3,1D,1S,1
HAPV3,VIVT3,1D,1H,3
BEEF3,TIMS3,1D,1S,2
PSSA3,TAEE11,1D,1S,2
BBDC3,DIRR3,1D,1T,1
MOTV3,VBBR3,1D,1T,1
AURE3,YDUQ3,1D,1H,1
TIMS3,VIVA3,1D,1H,1
RECV3,YDUQ3,1D,1S,1
ABEV3,CPFE3,1D,1H,2
SMFT3,VALE3,1D,1S,2
ELET3,PETR3,1D,1H,3
ASAI3,FLRY3,1D,1T,1
DIRR3,RADL3,1D,1H,2
CMIN3,RECV3,1D,1T,2
FLRY3,CSNA3,1D,1S,2
HYPE3,BEEF3,1D,1H,3
RAIZ4,SLCE3,1D,1S,1
HAPV3,PCAR3,1D,1H,3
B3SA3,ELET3,1D,1S,3
BRKM5,HAPV3,1D,1H,3
ENEV3,MRVE3,1D,1H,3
ENGI11,WEGE3,1D,1T,2
BRKM5,ITSA4,1D,1T,3
BRKM5,POMO4,1D,1S,1
CEAB3,NATU3,1D,1S,3
RDOR3,VAMO3,1D,1T,2
PETR4,SMFT3,1D,1T,3
MGLU3,MRVE3,1D,1H,3
PRIO3,VBBR3,1D,1H,2
COGN3,RAIL3,1D,1S,1
ABEV3,CURY3,1D,1T,2
LREN3,RECV3,1D,1S,2
DIRR3,VBBR3,1D,1S,1
MULT3,SBSP3,1D,1S,3
ENGI11,SMFT3,1D,1S,2
CURY3,VAMO3,1D,1S,1
KLBN11,MGLU3,1D,1H,3
RECV3,RDOR3,1D,1S,2
ENGI11,CSNA3,1D,1S,3
PCAR3,SUZB3,1D,1H,2
KLBN11,RENT3,1D,1T,2
IGTI11,USIM5,1D,1H,3
ITUB4,VIVT3,1D,1T,3
BEEF3,RAIZ4,1D,1H,1
ISAE4,LREN3,1D,1H,2
BBDC3,CXSE3,1D,1S,3
HAPV3,MGLU3,1D,1T,1
DIRR3,RENT3,1D,1H,3
CURY3,GOAU4,1D,1S,2
PETR3,RAIL3,1D,1H,2
EGIE3,EQTL3,1D,1S,2
BRAP4,VAMO3,1D,1S,3
NATU3,PRIO3,1D,1T,1
DIRR3,MGLU3,1D,1H,3
HAPV3,RECV3,1D,1H,2
BBAS3,CXSE3,1D,1S,2
ASAI3,UGPA3,1D,1H,2
COGN3,VAMO3,1D,1S,3
GGBR4,PSSA3,1D,1T,3
BRAP4,CEAB3,1D,1H,3
FLRY3,ITSA4,1D,1T,2
CEAB3,CMIN3,1D,1H,2
PSSA3,TAEE11,1D,1H,1
GOAU4,VALE3,1D,1T,1
ISAE4,SUZB3,1D,1T,2
AURE3,BPAC11,1D,1T,2
PRIO3,CSNA3,1D,1S,2
B3SA3,MBRF3,1D,1T,3
ABEV3,BEEF3,1D,1S,2
BRKM5,SBSP3,1D,1T,3
GGBR4,CSNA3,1D,1S,3
ABEV3,ITSA4,1D,1T,2
AZZA3,VALE3,1D,1T,2
EGIE3,VIVA3,1D,1S,1
PSSA3,VIVA3,1D,1H,1
LREN3,NATU3,1D,1T,2
EGIE3,CSNA3,1D,1H,3
BPAC11,GGBR4,1D,1T,1
LREN3,VIVA3,1D,1T,1
ELET3,HYPE3,1D,1T,3
BRKM5,UGPA3,1D,1S,1
BBSE3,GGBR4,1D,1H,2
ELET3,ELET6,1D,1S,3
CPFE3,SLCE3,1D,1H,2
RECV3,SANB11,1D,1H,1
EMBR3,ENEV3,1D,1T,2
BBDC3,ELET3,1D,1S,1
B3SA3,HAPV3,1D,1S,2
ELET3,VIVA3,1D,1T,3
CSAN3,ENGI11,1D,1S,1
CPLE6,HYPE3,1D,1S,3
BBSE3,CXSE3,1D,1T,1
ENEV3,SBSP3,1D,1S,3
ASAI3,MOTV3,1D,1H,3
CMIN3,EQTL3,1D,1H,3
CYRE3,USIM5,1D,1T,1
CSNA3,SMFT3,1D,1T,2
B3SA3,MGLU3,1D,1H,1
AZZA3,CPFE3,1D,1S,2
AURE3,SBSP3,1D,1H,2
CSAN3,VALE3,1D,1T,3
ISAE4,MOTV3,1D,1H,1
CEAB3,PSSA3,1D,1H,3
RECV3,CSNA3,1D,1T,1
CYRE3,IRBR3,1D,1H,1
BBDC3,BPAC11,1D,1H,2
GGBR4,SMFT3,1D,1S,3
BRAP4,CEAB3,1D,1T,1
BBSE3,ITSA4,1D,1S,3
HYPE3,RADL3,1D,1T,3
PETR3,PSSA3,1D,1S,3
CPLE6,RAIL3,1D,1S,1
ITSA4,VBBR3,1D,1T,2
ENGI11,FLRY3,1D,1S,3
AZZA3,NATU3,1D,1H,3
CYRE3,TAEE11,1D,1S,2
TAEE11,UGPA3,1D,1H,3
FLRY3,VAMO3,1D,1T,3
SUZB3,VIVT3,1D,1S,1
B3SA3,MULT3,1D,1T,3
POMO4,RDOR3,1D,1S,1
CPLE6,MOTV3,1D,1T,2
CURY3,ELET6,1D,1H,2
ABEV3,SMFT3,1D,1T,3
SMFT3,SUZB3,1D,1H,1
BRAP4,MULT3,1D,1T,2
BRAV3,BEEF3,1D,1H,2
PSSA3,VALE3,1D,1S,3
ABEV3,SLCE3,1D,1T,2
ASAI3,IRBR3,1D,1S,3
IGTI11,SANB11,1D,1T,2
ELET3,PSSA3,1D,1H,3
ISAE4,PETR3,1D,1S,3
NATU3,VBBR3,1D,1T,3
BBDC3,UGPA3,1D,1S,1
CYRE3,ENEV3,1D,1S,2
PETR4,SANB11,1D,1H,3
CVCB3,RECV3,1D,1S,1
B3SA3,ITSA4,1D,1H,2
SUZB3,USIM5,1D,1H,3
BBDC3,TIMS3,1D,1T,1
PETR4,TAEE11,1D,1H,1
ASAI3,SBSP3,1D,1T,1
CEAB3,SBSP3,1D,1T,3
BPAC11,CYRE3,1D,1S,3
ALOS3,GOAU4,1D,1T,3
BEEF3,SMFT3,1D,1H,3
ALOS3,BBDC3,1D,1T,1
ASAI3,CVCB3,1D,1S,3
HAPV3,RADL3,1D,1S,2
FLRY3,PCAR3,1D,1S,2
CSAN3,TAEE11,1D,1T,2
DIRR3,MOTV3,1D,1S,2
ASAI3,BRAV3,1D,1T,2
POMO4,USIM5,1D,1H,1
BBDC3,SBSP3,1D,1S,3
ENGI11,RADL3,1D,1T,3
ELET6,SBSP3,1D,1T,3
HAPV3,MGLU3,1D,1T,3
TOTS3,VIVA3,1D,1T,3
ITSA4,CSNA3,1D,1H,2
BEEF3,NATU3,1D,1H,1
ABEV3,RAIL3,1D,1S,3
DIRR3,PCAR3,1D,1S,1
PRIO3,SANB11,1D,1S,1
GGBR4,RAIZ4,1D,1H,3
BBDC3,GOAU4,1D,1H,3
IGTI11,VALE3,1D,1T,1
IGTI11,IRBR3,1D,1S,3
HYPE3,SMFT3,1D,1T,3
BRAV3,ITSA4,1D,1H,2
CMIN3,RADL3,1D,1S,2
BBAS3,BRKM5,1D,1T,3
BBDC4,MBRF3,1D,1T,1
BBSE3,HYPE3,1D,1S,2
HYPE3,ITUB4,1D,1H,1
BBSE3,BRAV3,1D,1S,3
ABEV3,CSAN3,1D,1S,3
CPFE3,VIVA3,1D,1T,2
TAEE11,VAMO3,1D,1H,3
RDOR3,SBSP3,1D,1T,2
MGLU3,MOTV3,1D,1T,2
ALOS3,RAIZ4,1D,1S,3
RDOR3,TIMS3,1D,1S,1
BBSE3,ELET3,1D,1H,3
MULT3,PCAR3,1D,1H,3
PSSA3,SBSP3,1D,1T,2
B3SA3,WEGE3,1D,1T,3
ASAI3,MBRF3,1D,1H,3
BBSE3,TOTS3,1D,1T,1
ABEV3,RDOR3,1D,1T,1
HAPV3,TIMS3,1D,1H,3
CURY3,TOTS3,1D,1H,2
RAIL3,USIM5,1D,1T,1
AURE3,VIVA3,1D,1T,1
ABEV3,ASAI3,1D,1H,1
HYPE3,NATU3,1D,1H,3
GOAU4,RECV3,1D,1H,2
FLRY3,RDOR3,1D,1T,1
ISAE4,YDUQ3,1D,1T,1
BRAV3,BPAC11,1D,1S,3
ELET3,SBSP3,1D,1S,1
CSNA3,USIM5,1D,1T,3
IGTI11,CSNA3,1D,1T,2
CYRE3,WEGE3,1D,1S,2
MOTV3,RECV3,1D,1S,1
CMIN3,IGTI11,1D,1H,2
IGTI11,MGLU3,1D,1T,1
EGIE3,PRIO3,1D,1T,1
BRAV3,KLBN11,1D,1S,3
ENEV3,BEEF3,1D,1T,2
BBDC3,CSAN3,1D,1S,1
RDOR3,VIVT3,1D,1H,1
ELET3,VIVT3,1D,1H,1
AURE3,RECV3,1D,1H,3
DIRR3,MRVE3,1D,1S,1
CXSE3,DIRR3,1D,1S,1
BBDC4,CVCB3,1D,1S,3
BBAS3,RAIZ4,1D,1T,2
AZZA3,POMO4,1D,1H,3
SLCE3,TAEE11,1D,1S,1
AURE3,SMFT3,1D,1S,1
FLRY3,VBBR3,1D,1H,1
BBSE3,CVCB3,1D,1T,3
KLBN11,SBSP3,1D,1H,1
DIRR3,SUZB3,1D,1S,1
COGN3,BEEF3,1D,1S,3
DIRR3,GOAU4,1D,1H,3
BPAC11,TOTS3,1D,1T,1
ABEV3,NATU3,1D,1S,1
MRVE3,SBSP3,1D,1T,1
ALOS3,HYPE3,1D,1T,1
FLRY3,GOAU4,1D,1T,2
BRAV3,COGN3,1D,1H,2
AURE3,MOTV3,1D,1H,3
EMBR3,FLRY3,1D,1H,1
ASAI3,SLCE3,1D,1T,1
IGTI11,ITUB4,1D,1T,2
GGBR4,PRIO3,1D,1T,1
PSSA3,VAMO3,1D,1H,1
SUZB3,YDUQ3,1D,1H,2
CSAN3,WEGE3,1D,1H,3
EMBR3,UGPA3,1D,1H,2
ABEV3,BRAV3,1D,1H,2
BBSE3,UGPA3,1D,1T,3
B3SA3,POMO4,1D,1H,1
ENEV3,GGBR4,1D,1T,2
PETR3,VAMO3,1D,1H,3
B3SA3,RDOR3,1D,1T,3
CSAN3,ITUB4,1D,1H,3
ALOS3,ISAE4,1D,1T,3
HAPV3,PRIO3,1D,1S,3
IRBR3,RAIZ4,1D,1H,2
KLBN11,SBSP3,1D,1S,1
EGIE3,VBBR3,1D,1S,2
ELET3,FLRY3,1D,1T,3
FLRY3,RDOR3,1D,1T,3
CXSE3,NATU3,1D,1T,2
VALE3,YDUQ3,1D,1H,1
KLBN11,NATU3,1D,1H,3
