instrument1,instrument2,period,frequency,correlation,repeat
B3SA3,LREN3,1Year,1H,spearman,2
ABEV3,VALE3,1Year,1D,pearson,1
BBDC4,LREN3,1Year,1H,spearman,2
BBAS3,BBDC4,1Year,1ms,pearson,6
ABEV3,B3SA3,1Year,1ms,pearson,8
BBDC4,HAPV3,1Year,1S,spearman,8
B3SA3,PETR4,1Year,1T,pearson,6
ITSA4,VALE3,1Year,1ms,kendall,6
HAPV3,LREN3,1Year,1D,kendall,1
ITUB4,LREN3,1Year,1ms,spearman,10
ITUB4,LREN3,1Year,1T,kendall,4
B3SA3,BBAS3,1Year,1H,kendall,1
ABEV3,VALE3,1Year,1ms,pearson,2
B3SA3,VALE3,1Year,1ms,spearman,7
BBAS3,BBDC4,1Year,1H,pearson,9
B3SA3,ITSA4,1Year,1ms,kendall,5
ITSA4,LREN3,1Year,1D,pearson,4
BBAS3,HAPV3,1Year,1ms,spearman,7
ABEV3,ITUB4,1Year,1ms,spearman,4
B3SA3,PETR4,1Year,1ms,spearman,5
ABEV3,LREN3,1Year,1H,spearman,2
HAPV3,ITSA4,1Year,1S,spearman,5
BBAS3,LREN3,1Year,1ms,kendall,9
ABEV3,PETR4,1Year,1ms,kendall,8
B3SA3,ITUB4,1Year,1S,kendall,2
ABEV3,VALE3,1Year,1T,kendall,8
B3SA3,HAPV3,1Year,1D,kendall,4
HAPV3,ITUB4,1Year,1D,kendall,8
ABEV3,BBDC4,1Year,1D,spearman,7
ABEV3,ITUB4,1Year,1D,kendall,1
HAPV3,PETR4,1Year,1H,pearson,10
BBDC4,ITSA4,1Year,1H,spearman,8
ITUB4,PETR4,1Year,1ms,kendall,5
BBAS3,HAPV3,1Year,1ms,spearman,8
BBAS3,ITUB4,1Year,1S,kendall,9
ITSA4,LREN3,1Year,1ms,kendall,2
ABEV3,ITUB4,1Year,1S,pearson,2
BBAS3,BBDC4,1Year,1H,kendall,2
LREN3,VALE3,1Year,1H,kendall,4
B3SA3,HAPV3,1Year,1H,pearson,10
B3SA3,LREN3,1Year,1ms,spearman,7
B3SA3,PETR4,1Year,1ms,kendall,1
BBAS3,HAPV3,1Year,1H,pearson,2
B3SA3,VALE3,1Year,1ms,spearman,4
LREN3,VALE3,1Year,1D,kendall,5
ITSA4,VALE3,1Year,1H,spearman,7
ABEV3,ITUB4,1Year,1D,kendall,4
ITSA4,LREN3,1Year,1S,kendall,8
ABEV3,PETR4,1Year,1S,kendall,2
PETR4,VALE3,1Year,1S,kendall,10
HAPV3,ITSA4,1Year,1D,spearman,6
ABEV3,HAPV3,1Year,1T,spearman,2
ITSA4,VALE3,1Year,1S,kendall,3
B3SA3,VALE3,1Year,1S,pearson,9
ITSA4,LREN3,1Year,1T,kendall,1
HAPV3,PETR4,1Year,1S,kendall,1
BBAS3,BBDC4,1Year,1S,spearman,9
ITSA4,LREN3,1Year,1D,kendall,2
B3SA3,PETR4,1Year,1S,kendall,1
B3SA3,HAPV3,1Year,1T,kendall,8
ABEV3,ITSA4,1Year,1ms,kendall,1
BBDC4,HAPV3,1Year,1D,pearson,2
ABEV3,HAPV3,1Year,1D,pearson,1
B3SA3,ITUB4,1Year,1ms,spearman,10
ABEV3,VALE3,1Year,1H,spearman,8
ABEV3,BBDC4,1Year,1S,kendall,4
ABEV3,HAPV3,1Year,1D,kendall,8
ITSA4,ITUB4,1Year,1ms,kendall,1
BBDC4,ITSA4,1Year,1ms,pearson,1
ABEV3,ITSA4,1Year,1S,pearson,7
ABEV3,BBDC4,1Year,1D,kendall,5
B3SA3,ITSA4,1Year,1H,kendall,4
BBAS3,LREN3,1Year,1T,pearson,6
ABEV3,B3SA3,1Year,1H,pearson,8
BBDC4,ITUB4,1Year,1D,pearson,5
BBDC4,PETR4,1Year,1ms,spearman,2
ITSA4,ITUB4,1Year,1T,kendall,3
LREN3,PETR4,1Year,1D,pearson,5
B3SA3,ITUB4,1Year,1H,spearman,10
B3SA3,BBDC4,1Year,1S,pearson,8
BBAS3,VALE3,1Year,1D,kendall,9
BBDC4,LREN3,1Year,1ms,pearson,10
ITSA4,VALE3,1Year,1ms,pearson,1
BBDC4,HAPV3,1Year,1S,kendall,9
ITSA4,ITUB4,1Year,1H,spearman,7
ITUB4,PETR4,1Year,1T,pearson,2
B3SA3,BBDC4,1Year,1ms,kendall,8
ABEV3,LREN3,1Year,1T,pearson,6
ITUB4,LREN3,1Year,1T,spearman,2
ABEV3,HAPV3,1Year,1T,kendall,9
ABEV3,BBAS3,1Year,1ms,spearman,7
BBDC4,HAPV3,1Year,1T,pearson,10
B3SA3,VALE3,1Year,1T,kendall,1
HAPV3,PETR4,1Year,1D,kendall,7
B3SA3,ITUB4,1Year,1D,spearman,1
BBAS3,ITUB4,1Year,1ms,pearson,2
ITSA4,VALE3,1Year,1T,kendall,8
BBAS3,PETR4,1Year,1D,pearson,6
ABEV3,HAPV3,1Year,1D,pearson,3
ITSA4,VALE3,1Year,1H,spearman,1
ITUB4,PETR4,1Year,1D,pearson,10
ABEV3,HAPV3,1Year,1D,spearman,3
LREN3,PETR4,1Year,1T,kendall,6
BBAS3,ITUB4,1Year,1T,pearson,3
BBDC4,VALE3,1Year,1H,pearson,8
B3SA3,PETR4,1Year,1D,pearson,5
BBAS3,ITUB4,1Year,1T,pearson,5
LREN3,PETR4,1Year,1ms,spearman,6
HAPV3,LREN3,1Year,1T,kendall,9
BBDC4,ITSA4,1Year,1ms,spearman,10
ITSA4,ITUB4,1Year,1ms,pearson,6
HAPV3,ITUB4,1Year,1T,kendall,7
B3SA3,LREN3,1Year,1H,kendall,9
HAPV3,ITSA4,1Year,1S,spearman,8
B3SA3,VALE3,1Year,1H,pearson,3
ITSA4,ITUB4,1Year,1T,pearson,9
ABEV3,BBDC4,1Year,1T,spearman,4
ABEV3,ITUB4,1Year,1H,kendall,3
B3SA3,ITSA4,1Year,1T,spearman,1
ABEV3,BBDC4,1Year,1T,kendall,1
B3SA3,ITSA4,1Year,1D,kendall,9
HAPV3,ITUB4,1Year,1H,spearman,3
ITUB4,LREN3,1Year,1ms,pearson,8
BBDC4,ITUB4,1Year,1H,kendall,5
ITSA4,VALE3,1Year,1H,spearman,10
BBDC4,HAPV3,1Year,1T,kendall,1
PETR4,VALE3,1Year,1H,kendall,4
BBDC4,HAPV3,1Year,1S,spearman,3
ABEV3,PETR4,1Year,1S,spearman,6
B3SA3,ITUB4,1Year,1H,spearman,9
B3SA3,PETR4,1Year,1H,spearman,2
ITSA4,LREN3,1Year,1ms,spearman,3
ABEV3,VALE3,1Year,1D,kendall,7
B3SA3,LREN3,1Year,1T,spearman,10
ITUB4,VALE3,1Year,1S,pearson,8
ITUB4,LREN3,1Year,1D,pearson,5
ITUB4,PETR4,1Year,1T,kendall,8
BBDC4,HAPV3,1Year,1D,kendall,8
HAPV3,VALE3,1Year,1ms,spearman,1
BBDC4,PETR4,1Year,1T,kendall,3
B3SA3,LREN3,1Year,1D,spearman,7
ITUB4,LREN3,1Year,1ms,kendall,9
HAPV3,ITUB4,1Year,1ms,kendall,8
LREN3,VALE3,1Year,1T,spearman,7
ABEV3,PETR4,1Year,1D,pearson,2
BBAS3,LREN3,1Year,1D,pearson,5
BBDC4,ITSA4,1Year,1T,spearman,2
BBDC4,VALE3,1Year,1ms,spearman,10
B3SA3,ITUB4,1Year,1S,spearman,2
B3SA3,BBAS3,1Year,1T,kendall,3
BBAS3,BBDC4,1Year,1D,kendall,7
ITUB4,PETR4,1Year,1S,spearman,1
BBAS3,VALE3,1Year,1D,spearman,1
HAPV3,ITSA4,1Year,1ms,spearman,7
ITUB4,LREN3,1Year,1T,spearman,3
BBDC4,VALE3,1Year,1T,pearson,9
ABEV3,ITUB4,1Year,1D,pearson,5
B3SA3,PETR4,1Year,1S,kendall,8
BBAS3,BBDC4,1Year,1H,pearson,4
ITSA4,VALE3,1Year,1D,spearman,3
ABEV3,ITUB4,1Year,1H,pearson,1
ABEV3,HAPV3,1Year,1D,kendall,2
ABEV3,BBAS3,1Year,1S,spearman,5
B3SA3,BBDC4,1Year,1D,spearman,2
B3SA3,ITUB4,1Year,1T,pearson,5
BBAS3,LREN3,1Year,1H,kendall,4
BBDC4,LREN3,1Year,1H,pearson,8
ABEV3,LREN3,1Year,1ms,pearson,6
ABEV3,ITSA4,1Year,1S,pearson,2
HAPV3,ITUB4,1Year,1D,pearson,6
BBDC4,PETR4,1Year,1H,spearman,5
B3SA3,ITUB4,1Year,1ms,spearman,5
ABEV3,BBAS3,1Year,1ms,kendall,3
HAPV3,ITSA4,1Year,1H,pearson,2
ITUB4,PETR4,1Year,1S,spearman,9
ITSA4,LREN3,1Year,1ms,spearman,2
ABEV3,ITUB4,1Year,1D,pearson,6
B3SA3,BBAS3,1Year,1T,spearman,2
ITSA4,PETR4,1Year,1D,kendall,1
BBDC4,PETR4,1Year,1T,kendall,5
BBAS3,ITSA4,1Year,1ms,pearson,7
B3SA3,ITSA4,1Year,1T,pearson,2
BBAS3,BBDC4,1Year,1H,kendall,10
BBAS3,PETR4,1Year,1T,spearman,5
ITUB4,VALE3,1Year,1S,kendall,2
HAPV3,PETR4,1Year,1D,kendall,3
BBAS3,PETR4,1Year,1S,pearson,2
ITSA4,LREN3,1Year,1H,spearman,9
HAPV3,PETR4,1Year,1H,spearman,8
HAPV3,ITUB4,1Year,1S,kendall,2
B3SA3,ITUB4,1Year,1D,spearman,7
B3SA3,ITUB4,1Year,1S,spearman,4
ABEV3,HAPV3,1Year,1H,pearson,7
B3SA3,BBAS3,1Year,1H,pearson,10
ITSA4,VALE3,1Year,1ms,pearson,8
BBAS3,BBDC4,1Year,1T,pearson,1
B3SA3,ITSA4,1Year,1H,kendall,1
ITSA4,ITUB4,1Year,1T,pearson,5
BBAS3,HAPV3,1Year,1S,spearman,8
B3SA3,ITSA4,1Year,1T,spearman,6
LREN3,VALE3,1Year,1T,kendall,6
B3SA3,ITUB4,1Year,1D,spearman,8
ITUB4,LREN3,1Year,1ms,kendall,3
ITUB4,PETR4,1Year,1S,spearman,8
ABEV3,ITUB4,1Year,1T,spearman,7
BBAS3,VALE3,1Year,1ms,spearman,2
ITSA4,ITUB4,1Year,1H,spearman,4
B3SA3,LREN3,1Year,1T,kendall,2
LREN3,PETR4,1Year,1ms,pearson,1
ITSA4,VALE3,1Year,1S,kendall,2
ABEV3,BBDC4,1Year,1H,pearson,9
B3SA3,ITUB4,1Year,1T,pearson,1
LREN3,VALE3,1Year,1S,pearson,4
ABEV3,VALE3,1Year,1T,spearman,4
ITSA4,LREN3,1Year,1S,spearman,4
B3SA3,ITSA4,1Year,1S,pearson,7
ABEV3,LREN3,1Year,1H,spearman,10
ABEV3,VALE3,1Year,1D,pearson,7
BBDC4,LREN3,1Year,1H,spearman,3
ABEV3,HAPV3,1Year,1ms,spearman,6
BBAS3,HAPV3,1Year,1H,spearman,1
HAPV3,PETR4,1Year,1H,kendall,9
B3SA3,HAPV3,1Year,1ms,pearson,2
ITUB4,VALE3,1Year,1H,spearman,2
ITSA4,VALE3,1Year,1T,pearson,4
B3SA3,VALE3,1Year,1D,pearson,9
ABEV3,VALE3,1Year,1ms,pearson,7
HAPV3,VALE3,1Year,1T,spearman,5
HAPV3,LREN3,1Year,1H,kendall,9
ABEV3,ITUB4,1Year,1H,spearman,8
BBAS3,ITSA4,1Year,1D,pearson,5
ABEV3,HAPV3,1Year,1H,pearson,2
ABEV3,PETR4,1Year,1T,spearman,3
LREN3,VALE3,1Year,1H,pearson,2
BBAS3,PETR4,1Year,1H,pearson,1
HAPV3,LREN3,1Year,1S,kendall,6
BBAS3,ITSA4,1Year,1H,spearman,3
BBDC4,LREN3,1Year,1H,kendall,6
BBAS3,LREN3,1Year,1H,kendall,10
BBDC4,VALE3,1Year,1ms,kendall,10
PETR4,VALE3,1Year,1T,pearson,5
BBAS3,BBDC4,1Year,1S,pearson,4
BBAS3,HAPV3,1Year,1H,spearman,4
HAPV3,VALE3,1Year,1D,kendall,1
ITSA4,VALE3,1Year,1D,spearman,4
BBAS3,VALE3,1Year,1D,kendall,7
BBDC4,VALE3,1Year,1S,spearman,2
ITSA4,VALE3,1Year,1S,pearson,9
BBAS3,BBDC4,1Year,1T,spearman,1
ITSA4,LREN3,1Year,1ms,pearson,1
BBDC4,PETR4,1Year,1T,spearman,5
ABEV3,PETR4,1Year,1S,pearson,1
B3SA3,ITUB4,1Year,1D,kendall,6
B3SA3,VALE3,1Year,1S,spearman,3
B3SA3,ITUB4,1Year,1T,kendall,4
ITUB4,VALE3,1Year,1H,kendall,9
ABEV3,BBAS3,1Year,1T,kendall,7
ABEV3,LREN3,1Year,1H,spearman,4
B3SA3,ITSA4,1Year,1D,pearson,10
HAPV3,ITUB4,1Year,1H,pearson,7
B3SA3,BBAS3,1Year,1S,spearman,5
B3SA3,LREN3,1Year,1T,kendall,10
ABEV3,ITSA4,1Year,1H,pearson,8
ABEV3,PETR4,1Year,1T,kendall,5
BBDC4,ITSA4,1Year,1D,spearman,6
B3SA3,HAPV3,1Year,1D,pearson,9
ITSA4,LREN3,1Year,1S,spearman,10
BBAS3,BBDC4,1Year,1T,spearman,5
BBAS3,VALE3,1Year,1S,pearson,10
ABEV3,LREN3,1Year,1D,kendall,8
B3SA3,PETR4,1Year,1ms,pearson,7
HAPV3,ITSA4,1Year,1ms,pearson,3
PETR4,VALE3,1Year,1T,kendall,2
ABEV3,BBDC4,1Year,1ms,kendall,4
BBAS3,BBDC4,1Year,1H,pearson,10
B3SA3,PETR4,1Year,1S,pearson,2
HAPV3,LREN3,1Year,1ms,spearman,8
B3SA3,VALE3,1Year,1D,spearman,8
B3SA3,LREN3,1Year,1S,spearman,10
BBAS3,ITUB4,1Year,1D,kendall,8
ITSA4,PETR4,1Year,1S,spearman,8
BBDC4,ITUB4,1Year,1T,pearson,8
B3SA3,BBAS3,1Year,1T,kendall,9
HAPV3,ITUB4,1Year,1D,pearson,9
B3SA3,VALE3,1Year,1D,pearson,1
BBDC4,PETR4,1Year,1D,pearson,3
ITUB4,PETR4,1Year,1H,pearson,10
ABEV3,BBDC4,1Year,1D,spearman,9
BBDC4,PETR4,1Year,1S,kendall,2
ABEV3,VALE3,1Year,1T,spearman,5
BBDC4,HAPV3,1Year,1D,pearson,8
ABEV3,BBDC4,1Year,1T,pearson,2
ITSA4,LREN3,1Year,1S,pearson,4
ITSA4,ITUB4,1Year,1D,pearson,5
B3SA3,VALE3,1Year,1T,pearson,1
ABEV3,B3SA3,1Year,1ms,spearman,3
B3SA3,ITUB4,1Year,1H,spearman,7
B3SA3,HAPV3,1Year,1ms,pearson,4
ABEV3,ITSA4,1Year,1H,kendall,3
HAPV3,LREN3,1Year,1T,kendall,8
BBAS3,HAPV3,1Year,1S,kendall,4
B3SA3,BBAS3,1Year,1ms,spearman,7
ITSA4,LREN3,1Year,1T,spearman,3
B3SA3,VALE3,1Year,1T,pearson,9
BBDC4,ITSA4,1Year,1ms,pearson,5
B3SA3,PETR4,1Year,1T,kendall,6
ABEV3,HAPV3,1Year,1ms,kendall,1
BBDC4,LREN3,1Year,1D,kendall,4
BBDC4,LREN3,1Year,1S,pearson,3
B3SA3,BBAS3,1Year,1D,kendall,7
BBDC4,HAPV3,1Year,1T,kendall,9
ABEV3,BBAS3,1Year,1D,kendall,3
BBAS3,VALE3,1Year,1T,spearman,8
HAPV3,ITUB4,1Year,1T,kendall,9
BBAS3,BBDC4,1Year,1S,pearson,2
B3SA3,BBAS3,1Year,1ms,kendall,9
HAPV3,ITSA4,1Year,1ms,kendall,7
ABEV3,HAPV3,1Year,1D,spearman,8
ITSA4,LREN3,1Year,1T,kendall,9
PETR4,VALE3,1Year,1H,kendall,1
LREN3,PETR4,1Year,1S,spearman,6
BBDC4,VALE3,1Year,1S,pearson,7
BBAS3,VALE3,1Year,1ms,kendall,9
BBDC4,PETR4,1Year,1H,pearson,7
BBAS3,ITSA4,1Year,1D,spearman,1
ITUB4,LREN3,1Year,1D,spearman,8
B3SA3,VALE3,1Year,1D,spearman,5
HAPV3,PETR4,1Year,1S,spearman,8
HAPV3,LREN3,1Year,1D,kendall,6
BBDC4,LREN3,1Year,1ms,kendall,7
BBDC4,ITUB4,1Year,1T,spearman,9
LREN3,VALE3,1Year,1T,kendall,2
ABEV3,ITSA4,1Year,1T,spearman,6
BBDC4,PETR4,1Year,1T,spearman,8
BBAS3,LREN3,1Year,1H,pearson,4
HAPV3,VALE3,1Year,1H,spearman,9
BBDC4,LREN3,1Year,1S,pearson,4
BBAS3,HAPV3,1Year,1D,kendall,8
BBDC4,HAPV3,1Year,1H,pearson,8
BBDC4,ITUB4,1Year,1D,spearman,1
B3SA3,LREN3,1Year,1D,kendall,1
HAPV3,LREN3,1Year,1D,pearson,1
B3SA3,PETR4,1Year,1T,kendall,1
ABEV3,HAPV3,1Year,1T,kendall,2
ABEV3,HAPV3,1Year,1T,kendall,3
ITSA4,ITUB4,1Year,1ms,kendall,7
ITSA4,LREN3,1Year,1ms,spearman,8
ITSA4,LREN3,1Year,1ms,spearman,5
ITSA4,LREN3,1Year,1S,spearman,9
ABEV3,ITUB4,1Year,1S,pearson,1
ITSA4,ITUB4,1Year,1ms,spearman,5
HAPV3,ITSA4,1Year,1S,spearman,10
ABEV3,ITSA4,1Year,1S,spearman,2
ITUB4,LREN3,1Year,1H,spearman,5
B3SA3,LREN3,1Year,1H,pearson,7
ABEV3,BBDC4,1Year,1T,pearson,10
BBDC4,VALE3,1Year,1T,pearson,2
BBDC4,PETR4,1Year,1ms,kendall,5
ABEV3,BBDC4,1Year,1T,kendall,8
B3SA3,LREN3,1Year,1H,spearman,7
HAPV3,VALE3,1Year,1ms,spearman,10
B3SA3,BBDC4,1Year,1H,spearman,4
LREN3,VALE3,1Year,1S,pearson,2
BBDC4,HAPV3,1Year,1S,pearson,3
ABEV3,LREN3,1Year,1T,pearson,3
ITUB4,PETR4,1Year,1T,pearson,10
LREN3,PETR4,1Year,1ms,spearman,8
ITUB4,LREN3,1Year,1T,pearson,7
ABEV3,BBDC4,1Year,1S,spearman,10
BBDC4,ITSA4,1Year,1T,spearman,10
HAPV3,ITSA4,1Year,1ms,pearson,1
ABEV3,VALE3,1Year,1S,kendall,7
HAPV3,ITUB4,1Year,1S,kendall,4
BBDC4,HAPV3,1Year,1H,pearson,5
ITSA4,PETR4,1Year,1D,spearman,7
BBAS3,BBDC4,1Year,1ms,kendall,8
BBAS3,PETR4,1Year,1D,pearson,4
B3SA3,ITUB4,1Year,1T,spearman,8
ABEV3,ITUB4,1Year,1ms,spearman,3
ITUB4,VALE3,1Year,1S,kendall,9
BBAS3,VALE3,1Year,1H,spearman,3
LREN3,PETR4,1Year,1T,spearman,4
ITUB4,VALE3,1Year,1ms,kendall,4
B3SA3,HAPV3,1Year,1ms,spearman,5
ABEV3,BBDC4,1Year,1T,pearson,6
BBDC4,VALE3,1Year,1T,pearson,8
BBDC4,VALE3,1Year,1ms,pearson,4
BBDC4,PETR4,1Year,1D,pearson,8
ABEV3,B3SA3,1Year,1D,spearman,8
ITUB4,LREN3,1Year,1T,kendall,3
BBAS3,ITUB4,1Year,1T,spearman,9
ITUB4,LREN3,1Year,1H,spearman,6
ABEV3,BBDC4,1Year,1H,kendall,8
ITUB4,VALE3,1Year,1T,kendall,8
BBAS3,VALE3,1Year,1ms,pearson,7
BBDC4,LREN3,1Year,1D,kendall,3
BBAS3,VALE3,1Year,1D,pearson,7
BBAS3,LREN3,1Year,1D,pearson,2
ABEV3,LREN3,1Year,1D,kendall,2
BBDC4,VALE3,1Year,1S,spearman,6
ABEV3,ITUB4,1Year,1H,kendall,6
BBDC4,ITUB4,1Year,1ms,spearman,7
ABEV3,B3SA3,1Year,1T,kendall,9
B3SA3,LREN3,1Year,1D,spearman,8
HAPV3,PETR4,1Year,1S,pearson,10
ITUB4,VALE3,1Year,1ms,pearson,8
ITUB4,VALE3,1Year,1S,spearman,2
HAPV3,ITSA4,1Year,1D,pearson,7
ABEV3,ITUB4,1Year,1S,pearson,9
B3SA3,PETR4,1Year,1ms,spearman,10
BBDC4,LREN3,1Year,1S,kendall,6
BBDC4,ITSA4,1Year,1D,spearman,8
BBDC4,VALE3,1Year,1S,pearson,3
ITSA4,PETR4,1Year,1S,spearman,4
BBDC4,HAPV3,1Year,1S,pearson,2
HAPV3,PETR4,1Year,1H,pearson,6
ABEV3,BBDC4,1Year,1D,pearson,5
ABEV3,BBDC4,1Year,1H,pearson,3
HAPV3,PETR4,1Year,1T,spearman,1
LREN3,PETR4,1Year,1T,pearson,8
BBDC4,PETR4,1Year,1ms,pearson,1
BBAS3,BBDC4,1Year,1D,pearson,3
ITUB4,VALE3,1Year,1ms,kendall,9
LREN3,VALE3,1Year,1ms,pearson,1
BBAS3,VALE3,1Year,1S,kendall,4
B3SA3,BBAS3,1Year,1H,kendall,10
HAPV3,LREN3,1Year,1T,pearson,5
BBDC4,VALE3,1Year,1H,spearman,2
BBDC4,ITSA4,1Year,1T,spearman,6
HAPV3,VALE3,1Year,1H,spearman,10
LREN3,PETR4,1Year,1D,pearson,4
HAPV3,VALE3,1Year,1D,kendall,4
B3SA3,PETR4,1Year,1H,kendall,6
B3SA3,VALE3,1Year,1S,kendall,3
HAPV3,VALE3,1Year,1D,spearman,5
ABEV3,HAPV3,1Year,1ms,kendall,5
ABEV3,BBAS3,1Year,1ms,kendall,4
ITSA4,VALE3,1Year,1D,kendall,6
ITUB4,PETR4,1Year,1S,pearson,9
LREN3,VALE3,1Year,1ms,kendall,9
PETR4,VALE3,1Year,1H,pearson,2
B3SA3,ITUB4,1Year,1S,spearman,10
BBAS3,ITUB4,1Year,1T,spearman,5
ABEV3,LREN3,1Year,1ms,pearson,1
ITSA4,ITUB4,1Year,1ms,spearman,8
B3SA3,PETR4,1Year,1S,kendall,4
BBDC4,HAPV3,1Year,1H,spearman,7
ITSA4,PETR4,1Year,1S,kendall,8
B3SA3,HAPV3,1Year,1H,spearman,5
B3SA3,BBDC4,1Year,1S,kendall,10
BBAS3,ITUB4,1Year,1ms,spearman,10
HAPV3,PETR4,1Year,1D,kendall,8
B3SA3,ITUB4,1Year,1H,pearson,5
ABEV3,ITUB4,1Year,1ms,kendall,8
B3SA3,BBDC4,1Year,1ms,pearson,9
LREN3,VALE3,1Year,1H,kendall,10
BBDC4,PETR4,1Year,1ms,kendall,10
ITSA4,PETR4,1Year,1S,spearman,7
BBDC4,VALE3,1Year,1S,spearman,3
BBAS3,LREN3,1Year,1D,spearman,3
ABEV3,ITUB4,1Year,1T,pearson,10
B3SA3,BBAS3,1Year,1S,spearman,4
B3SA3,BBAS3,1Year,1S,pearson,3
B3SA3,LREN3,1Year,1S,kendall,9
B3SA3,BBDC4,1Year,1D,kendall,9
LREN3,VALE3,1Year,1S,kendall,1
ABEV3,BBDC4,1Year,1H,pearson,10
ABEV3,ITUB4,1Year,1D,kendall,3
BBAS3,VALE3,1Year,1H,spearman,6
ITUB4,PETR4,1Year,1ms,spearman,5
ABEV3,PETR4,1Year,1D,pearson,10
BBDC4,PETR4,1Year,1S,kendall,5
HAPV3,ITSA4,1Year,1H,pearson,1
B3SA3,LREN3,1Year,1S,pearson,1
ABEV3,HAPV3,1Year,1ms,pearson,7
B3SA3,ITUB4,1Year,1ms,pearson,1
ABEV3,ITSA4,1Year,1T,spearman,10
ITSA4,ITUB4,1Year,1T,kendall,10
B3SA3,ITUB4,1Year,1ms,pearson,4
BBAS3,HAPV3,1Year,1ms,kendall,1
ITSA4,ITUB4,1Year,1D,spearman,5
BBDC4,PETR4,1Year,1D,spearman,10
ITUB4,LREN3,1Year,1ms,pearson,2
B3SA3,ITSA4,1Year,1T,spearman,5
ITUB4,PETR4,1Year,1D,kendall,3
B3SA3,VALE3,1Year,1H,pearson,5
BBAS3,ITUB4,1Year,1S,pearson,7
BBDC4,HAPV3,1Year,1ms,pearson,4
ABEV3,ITUB4,1Year,1H,pearson,6
ABEV3,HAPV3,1Year,1H,pearson,3
BBDC4,HAPV3,1Year,1D,pearson,5
BBDC4,LREN3,1Year,1D,kendall,8
BBDC4,HAPV3,1Year,1T,kendall,10
ITSA4,ITUB4,1Year,1D,kendall,6
ITSA4,LREN3,1Year,1H,spearman,10
HAPV3,ITSA4,1Year,1D,pearson,1
BBAS3,ITSA4,1Year,1H,spearman,5
B3SA3,VALE3,1Year,1D,pearson,10
ABEV3,LREN3,1Year,1D,spearman,9
B3SA3,ITUB4,1Year,1ms,kendall,1
B3SA3,VALE3,1Year,1D,kendall,1
HAPV3,PETR4,1Year,1ms,kendall,1
ABEV3,BBAS3,1Year,1T,spearman,8
ABEV3,PETR4,1Year,1T,spearman,4
ITSA4,PETR4,1Year,1S,pearson,3
BBDC4,PETR4,1Year,1S,spearman,10
ITSA4,VALE3,1Year,1H,pearson,1
HAPV3,PETR4,1Year,1H,spearman,2
HAPV3,VALE3,1Year,1H,pearson,9
BBAS3,ITSA4,1Year,1D,pearson,9
ITSA4,ITUB4,1Year,1T,spearman,10
HAPV3,PETR4,1Year,1H,kendall,5
BBDC4,ITUB4,1Year,1ms,kendall,10
BBAS3,ITUB4,1Year,1D,kendall,9
LREN3,PETR4,1Year,1H,kendall,1
BBDC4,LREN3,1Year,1ms,spearman,4
PETR4,VALE3,1Year,1ms,spearman,10
BBAS3,LREN3,1Year,1T,kendall,10
B3SA3,ITSA4,1Year,1ms,spearman,7
ABEV3,HAPV3,1Year,1D,spearman,4
BBAS3,HAPV3,1Year,1ms,spearman,6
BBDC4,LREN3,1Year,1T,spearman,8
ABEV3,HAPV3,1Year,1H,spearman,1
ITSA4,ITUB4,1Year,1S,pearson,4
ABEV3,BBAS3,1Year,1H,pearson,4
BBDC4,VALE3,1Year,1T,spearman,8
HAPV3,ITUB4,1Year,1ms,kendall,5
ABEV3,BBDC4,1Year,1H,kendall,6
B3SA3,BBAS3,1Year,1H,pearson,3
ABEV3,BBAS3,1Year,1H,spearman,2
HAPV3,ITSA4,1Year,1ms,pearson,10
ITUB4,VALE3,1Year,1ms,pearson,1
B3SA3,HAPV3,1Year,1S,pearson,10
B3SA3,HAPV3,1Year,1T,kendall,6
B3SA3,VALE3,1Year,1H,pearson,7
HAPV3,ITSA4,1Year,1ms,spearman,4
ABEV3,BBDC4,1Year,1S,kendall,1
HAPV3,ITUB4,1Year,1S,kendall,6
B3SA3,BBDC4,1Year,1H,kendall,2
BBDC4,HAPV3,1Year,1D,pearson,6
PETR4,VALE3,1Year,1T,spearman,4
BBAS3,HAPV3,1Year,1T,spearman,6
B3SA3,BBDC4,1Year,1ms,spearman,4
HAPV3,PETR4,1Year,1T,kendall,2
ITUB4,LREN3,1Year,1D,kendall,4
ITUB4,VALE3,1Year,1H,pearson,10
B3SA3,HAPV3,1Year,1H,spearman,7
BBDC4,ITUB4,1Year,1D,kendall,8
ITSA4,ITUB4,1Year,1T,spearman,1
ITSA4,LREN3,1Year,1T,pearson,5
LREN3,PETR4,1Year,1ms,pearson,6
ABEV3,BBDC4,1Year,1T,pearson,4
PETR4,VALE3,1Year,1T,kendall,6
ITUB4,PETR4,1Year,1T,pearson,7
BBDC4,VALE3,1Year,1H,pearson,4
ITSA4,ITUB4,1Year,1D,pearson,6
ITUB4,VALE3,1Year,1T,kendall,9
BBAS3,BBDC4,1Year,1ms,kendall,3
